computer	B7B12
cat	B73
horse	BA40A24
catch	AB45B54
plants	BB56B15
door	A60
I	A45
people	BA25B25
kid	A15
hand	B59
time	A02
tree	B42
something	A2A01
baby	A15
flower	BB56B15
work	B87
water	BA45A44
grass	BB56B15
male	AB75B87
you	AB89B81
forest	BB42B42
lake	AA45A84
balloon	AB09A96
my	A89
ear	AB09B69
female	AB75B88
day	B86
dog	BA346
walk	BB70A37
